n przestawienia_mysort porównania_mysort
650 3281 5954
650 3702 6608
650 3258 6438
650 3344 6690
650 3693 6412
650 3341 6819
650 3334 6570
650 3773 6475
650 3784 6450
650 3951 7789
650 3718 7101
650 3684 6514
650 3376 6201
650 3921 6611
650 3624 6272
650 3791 6721
650 3211 6726
650 3519 6428
650 4244 6861
650 3617 6211
650 4104 7291
650 3660 6355
650 4519 8410
650 3132 6196
650 3650 6273
650 3609 6173
650 3536 6542
650 3324 6218
650 4093 7069
650 3096 6551
650 3639 6250
650 3534 6445
650 4150 7473
650 3803 6297
650 4075 6672
650 3634 6307
650 3929 6213
650 3585 7201
650 3470 6011
650 3084 5889
650 3072 6392
650 3777 6690
650 3357 6457
650 3793 6363
650 3719 5978
650 3926 6764
650 3951 6527
650 3482 6045
650 3775 6173
650 3403 6735
650 3977 6638
650 3568 6026
650 3699 6232
650 3691 6682
650 3864 7551
650 3705 6290
650 3121 6635
650 3767 6332
650 3894 6637
650 3879 6371
650 3537 5997
650 4171 7172
650 3397 6514
650 3595 6460
650 3946 6987
650 4321 6476
650 3912 6453
650 3588 6181
650 3429 6860
650 3410 6572
650 3343 6070
650 4207 6944
650 3731 6180
650 4566 7700
650 3342 6170
650 3356 6911
650 3890 6310
650 3414 6783
650 3893 6341
650 3629 6352
650 3547 6209
650 3395 6215
650 3490 6421
650 3231 6770
650 3459 6125
650 3213 6511
650 4264 7602
650 3475 6777
650 3293 6289
650 3778 6153
650 3979 6302
650 3578 7084
650 3535 6505
700 3677 7083
700 4038 7170
700 3774 6874
700 3879 6593
700 4191 7313
700 4986 7470
700 3545 7302
700 3684 7045
700 4352 7031
700 3447 6812
700 3846 7453
700 4361 7738
700 4003 7110
700 4694 7350
700 3462 6730
700 4501 7820
700 4790 7385
700 3560 7581
700 4180 7441
700 4231 7211
700 3458 6729
700 4083 7662
700 3881 6866
700 3570 7031
700 4510 7342
700 3888 7032
700 4471 7413
700 4326 6850
700 4003 7420
700 3766 7984
700 4771 7655
700 4113 7681
700 4241 6993
700 4113 7108
700 3983 6867
700 4014 7411
700 4865 7660
700 3944 6916
700 4159 7028
700 3881 7686
700 5318 7800
