n przestawienia_quick porównania_quick
400 1915 3301
400 2376 3838
400 1830 3525
400 2022 3453
400 2576 4125
400 1805 3631
400 1679 3466
400 2122 3645
400 3285 4517
400 1896 3497
400 2321 3706
400 2115 3995
400 2415 3553
400 2049 3492
400 2142 3494
400 2379 4373
400 2147 3888
400 2066 3486
400 2419 3762
400 2122 4156
400 2219 3766
400 2576 3940
400 2072 3273
400 2035 3357
400 1742 3909
400 2146 3547
450 2197 3958
450 2542 4352
450 2153 4401
450 2024 4057
450 2611 4065
450 2176 4249
450 2807 4241
450 2922 4365
450 2431 4198
450 2443 4136
450 2779 4368
450 2254 3909
450 2171 3844
450 2648 4269
450 2577 4115
450 2167 4031
450 2203 3835
450 2400 3822
450 2497 4452
450 2033 4259
450 2094 4083
450 2473 4316
450 2219 4264
450 3000 4407
450 2694 4266
450 2855 4345
450 2806 4327
450 2579 4448
450 2127 4032
450 2473 3923
450 2344 4255
450 2368 4110
450 2374 3767
450 2309 4199
450 2684 4503
450 2854 4250
450 2826 4911
450 2480 4499
450 2222 4108
450 2564 4141
450 2573 4122
450 2353 3980
450 2417 4583
450 2295 4723
450 2393 4214
450 2771 4236
450 2594 4130
450 2569 4021
450 2456 4463
450 2721 4547
450 2216 3952
450 2582 4704
450 2634 4186
450 2292 3750
450 2349 4177
450 2337 4018
450 2504 4222
450 2070 4157
450 2566 4196
450 2282 4125
450 2746 4247
450 2398 3949
450 2621 4358
450 2283 3906
450 2564 4299
450 2199 4007
450 2424 3923
450 2119 3987
450 2590 4252
450 2537 3995
450 2504 4384
450 2287 4011
450 2945 4288
450 2584 4417
450 2598 4161
450 2342 4028
450 2406 3988
450 2263 3978
450 1993 4386
450 2230 4311
450 2121 4390
450 2686 4117
450 2982 5093
450 2110 4357
450 2607 4226
450 2024 4226
450 2367 4005
450 2509 4458
450 2996 5751
450 2269 4831
450 2721 4355
450 2286 4363
450 2106 4123
450 2603 4427
450 2187 4190
450 2478 4040
450 2395 4357
450 2400 4750
450 2492 4110
450 2224 4041
500 2904 4476
500 2453 5192
500 2586 4753
500 3078 4762
500 2981 5138
500 2388 4694
500 2908 4920
500 2785 4675
500 2679 4367
500 3034 5420
500 2420 4690
500 2497 4850
500 2824 4596
500 2374 4762
500 2948 4553
500 2627 4563
500 2668 4587
500 3211 5070
500 2411 4598
500 2614 4343
500 2876 5231
500 2899 4601
500 2990 4695
500 2799 4576
500 3159 5025
500 2563 4637
500 2951 4886
500 2360 4529
500 3288 5310
500 3103 5329
500 2767 4845
500 2562 4174
500 2470 4818
500 2405 4910
500 2537 4286
500 2624 4454
500 2574 4349
500 2922 5771
500 2771 4652
500 2824 4850
500 2669 4594
500 2584 4386
500 2989 4580
500 3030 5002
500 2342 5219
500 2766 4759
500 2540 4759
500 3108 5027
500 2642 4820
500 3128 4798
500 3600 5686
500 2095 4483
500 2617 4784
500 2777 4660
500 2681 4711
500 3369 5020
500 3464 5699
500 2499 4875
500 2873 5321
500 3136 4831
500 3000 4911
500 3066 5015
500 2849 4429
500 2941 5026
500 2837 5175
500 2634 4427
500 3013 5104
500 3374 4926
500 2586 4533
500 2835 4527
500 2207 4346
500 2846 4720
500 2651 4764
500 2569 4881
500 2576 4816
500 2791 4669
500 3101 4610
500 2609 4836
500 2868 4748
500 2525 4451
500 2581 4435
500 3111 4841
500 3057 4634
500 2508 4765
500 2682 4844
500 3039 5473
500 2844 4654
500 2702 4761
500 2733 4390
500 3791 5978
500 2292 4768
500 2765 4846
500 2838 4859
500 2446 4282
500 2594 4697
500 3000 5153
500 3249 5323
500 2471 4578
500 2887 4398
500 2760 4903
550 2870 5340
550 2951 4872
550 3030 5147
550 2728 4959
550 3149 5357
550 3420 5523
550 2758 5445
550 3437 5653
550 3162 5130
550 3064 5129
550 3123 4956
550 3836 5733
550 3159 5306
550 3683 5396
550 3738 5459
550 3614 5446
550 3166 5140
550 3176 5252
550 2707 5567
550 3101 5055
550 3780 5750
550 3172 5620
550 2663 5411
550 2651 5325
550 3136 5182
550 2831 5124
550 3809 5819
550 3262 5199
550 2781 5049
550 3721 5656
550 3272 5061
550 3363 5381
550 3131 5471
550 2801 5233
550 2958 5292
550 3103 5685
550 2770 5323
550 2866 4969
550 3098 5726
550 3143 5297
550 3236 5349
550 2596 5074
550 3719 5724
550 3079 5723
550 3251 5316
550 3252 5389
550 3269 5482
550 2501 6188
550 2986 4996
550 2748 4805
550 3247 5075
550 3214 5224
550 3170 5053
550 3115 5165
550 2974 5083
550 2758 4929
550 2785 5151
550 3138 4977
550 3726 5508
550 3281 5157
550 3508 5826
550 3324 5122
550 2955 5423
550 3111 5033
550 3008 5183
550 2559 5957
550 2721 5281
550 3354 5233
550 3363 5588
550 3364 5419
550 3823 6245
550 2812 4905
550 3340 5491
550 3402 5762
550 3233 5162
550 3039 5363
550 3178 5663
550 3083 5198
550 3399 5316
550 2881 4996
550 2932 4946
550 3140 5306
550 2765 5239
550 2863 4971
550 3034 5164
550 2560 5027
550 2725 4970
550 2773 5145
550 3757 5553
550 2962 5890
550 3239 5387
550 3035 5182
550 3374 5453
550 2495 5804
550 2939 5372
550 3197 5857
550 3149 6295
550 2915 5113
550 3208 5253
550 3269 5389
600 3775 5930
600 3461 5971
600 3473 5817
600 3492 6632
600 3107 6073
600 3807 6919
600 3737 6510
600 3827 6129
600 3300 5742
600 3635 6228
600 3211 6241
600 3052 5781
600 3860 5938
600 3954 6766
600 3219 5747
600 3905 6308
600 4001 6409
600 3222 5905
600 3526 5799
600 2996 5366
600 3456 5703
600 3241 5740
600 3596 6194
600 3510 5815
600 3282 5341
600 3668 5777
600 4343 6411
600 3044 5583
600 3445 6037
600 3066 6287
600 3163 5922
600 3667 5633
600 3417 5816
600 3352 5986
600 3948 6165
600 3092 5651
600 3294 5817
600 3638 5958
600 4098 6259
600 3243 5903
600 3211 5517
600 3075 5567
600 2993 5398
600 3836 6817
600 3614 5689
600 3382 5492
600 3554 5706
600 3045 5318
600 3526 5787
600 3378 6030
600 3768 5862
600 3353 5801
600 4390 7233
600 3459 6388
600 2974 5506
600 3679 5775
600 4323 6943
600 3083 5759
600 3470 5511
600 3570 5540
600 3365 5722
600 3795 6572
600 3536 5747
600 3184 5973
600 3595 5972
600 3478 5749
600 3208 5982
600 3073 5829
600 3900 6714
600 3623 5893
600 3259 5519
600 3325 5328
600 3116 5669
600 3542 6836
600 3499 6115
600 3298 5665
600 3152 5802
600 3033 5403
600 3181 5581
600 3055 5700
600 3192 6063
600 3869 5983
600 3826 6248
600 3045 5933
600 3320 6628
600 3317 6090
600 3107 5788
600 3272 5606
600 3734 6099
600 3031 5471
600 3928 6825
600 3812 5993
600 3246 5869
600 4168 6745
600 3553 6039
600 4077 6596
600 3553 6629
600 3243 5586
600 3357 5578
600 3902 5841
650 3972 6343
650 3504 6218
650 3826 6405
650 3556 7132
650 3221 6129
650 3375 6358
650 3528 6100
650 3705 6057
650 3706 6347
650 3279 6263
650 3589 6104
650 3217 6476
650 3354 5957
650 3514 6810
650 4567 7346
650 3496 6213
650 3699 6291
650 3328 6971
650 3793 7209
650 4525 6854
650 4236 7314
650 3726 6753
650 3628 6284
650 3821 7106
650 3185 6458
650 5162 7819
650 3873 6487
650 4124 6665
650 4129 6523
650 3698 6353
650 3452 6548
650 5065 7134
650 3534 6241
650 3722 6765
650 3703 6548
650 3655 6378
650 4188 6980
650 4912 7022
650 4302 7119
650 3828 6420
650 3532 6662
650 3698 6382
650 3988 6561
650 3582 5992
650 3989 6306
650 4110 7490
650 4098 6251
650 4243 6931
650 3546 6302
650 3692 6384
650 3467 6572
650 3917 6261
650 3753 6158
650 4757 7607
650 3768 6998
650 3478 6260
650 3633 6273
650 4427 7180
650 3894 6433
650 3885 7170
650 4133 7644
650 3393 6268
650 3307 6523
650 3591 6086
650 3966 7032
650 3317 6233
650 4412 6734
650 3846 6334
650 3468 7012
650 3180 6321
650 4046 6294
650 3799 6182
650 3779 6051
650 3212 6237
650 4040 6714
650 4953 7325
650 3974 7119
650 3832 6809
650 3931 6510
650 4590 7227
650 3762 7022
650 3971 7212
650 4369 6474
650 3508 6090
650 3086 6192
650 3333 6135
650 4162 6989
650 4263 6846
650 3610 5900
650 3422 6485
650 4161 6720
650 3481 6317
650 3638 6477
650 3913 6526
650 3973 6390
650 3614 6456
650 3597 6570
650 3624 6173
650 3858 6752
650 3860 6723
700 3981 6554
700 3891 6724
700 4964 7953
700 5964 9082
700 3957 7120
700 3863 6611
700 4025 7117
700 4149 6900
700 3920 7214
700 3938 7518
700 3435 7196
700 4756 7994
700 4508 7149
700 4044 6808
700 4194 7498
700 4118 6826
700 3646 6431
700 4553 8278
700 4601 7088
700 4371 7007
700 4580 7024
700 4622 7392
700 4277 7011
700 3822 7293
700 4349 7375
700 3892 7117
700 4488 6900
700 5103 8213
700 3657 7027
700 4158 7162
700 3631 7006
700 4140 6996
700 6307 8814
700 4492 6728
700 3522 6574
700 4538 7279
700 3852 7284
700 3520 7362
700 4371 7458
700 3937 6619
700 3849 6699
700 4136 6950
700 4299 8123
700 3815 6906
700 4000 7002
700 4498 7115
700 3758 6697
700 4323 7013
700 3962 7473
700 4207 7679
700 4006 7198
700 3827 7256
700 4214 6748
700 4643 7313
700 4813 8016
700 3967 6962
700 4273 7201
700 3708 6767
700 4141 7386
700 3906 6932
700 3945 7134
700 4343 7129
700 3952 6778
700 3817 6658
700 3852 6649
700 3654 6821
700 5111 7767
700 3750 6800
700 4087 7327
700 3852 6908
700 3513 7095
700 4691 7579
700 3754 6835
700 4203 6951
700 4076 7469
700 4232 6973
700 4492 7215
700 3647 6809
700 4115 6991
700 3827 6916
700 4034 6974
700 4765 7526
700 4072 7273
700 3655 6800
700 3962 6694
700 3756 6724
700 4131 7323
700 3742 6908
700 3638 7039
700 4288 7561
700 4045 7049
700 4655 7699
700 3639 6493
700 4110 7035
700 3682 6559
700 4098 7007
700 4174 7093
700 4719 7430
700 4833 7634
700 3754 6786
750 4270 7230
750 4636 7994
750 4468 8180
750 4595 8418
750 4347 7446
750 4914 7953
750 4519 8369
750 4540 7816
750 5594 8982
750 4647 8114
750 4229 8767
750 4172 7441
750 4499 7477
750 4296 7955
750 4147 7549
750 5178 8401
750 4949 8213
750 4951 7986
750 5127 8110
750 3583 7617
750 5217 8462
750 4460 7886
750 4473 7399
750 4766 7829
750 4472 7382
750 4366 7798
750 4055 8046
750 4129 7696
750 4368 7744
750 4145 7352
750 4682 7900
750 4874 7867
750 5309 7945
750 4131 7008
750 3675 7292
750 5257 8050
750 4520 7445
750 4053 7526
750 3856 6946
750 5100 8510
750 4103 7360
750 3920 8053
750 4222 7229
750 4489 8445
750 4306 7160
750 4414 7484
750 3839 7304
750 4601 8562
750 4431 7885
750 4240 7533
750 4676 8092
750 3889 7051
750 4129 7231
750 4099 7969
750 4475 7310
750 5193 8166
750 5472 8277
750 4097 7316
750 4714 7381
750 4569 7438
750 4931 7990
750 3756 7504
750 4869 7536
750 3955 7377
750 4109 7339
750 3622 7469
750 3974 7130
750 4376 7568
750 3968 7411
750 4327 7380
750 4783 7843
750 4374 7640
750 4357 7737
750 4458 7700
750 4317 7106
750 4760 8388
750 4262 7768
750 5667 8757
750 4793 7786
750 4888 8490
750 4089 7384
750 4756 9415
750 4005 7184
750 5243 8032
750 4114 7723
750 4253 7571
750 4502 8343
750 4897 9110
750 5469 8225
750 4493 7949
750 3549 7234
750 3950 7245
750 4562 7477
750 4484 7132
750 3783 7556
750 4145 8000
750 4181 7779
750 3985 7112
750 4037 7780
750 4067 8281
800 4733 8783
800 4654 8426
800 4769 8546
800 5047 8465
800 5692 8634
800 4622 8157
800 5338 9335
800 6630 9870
800 4765 8334
800 4428 8186
800 5515 8746
800 4709 7769
800 4640 7828
800 5129 8551
800 4439 8252
800 4875 8142
800 4285 8325
800 4937 7910
800 5114 8216
800 4679 7904
800 4588 8427
800 5219 8908
800 5375 9084
800 4510 9272
800 5735 9234
800 4087 7773
800 4826 7796
800 4461 8543
800 4708 7836
800 5684 8491
800 5189 8168
800 6365 9036
800 5608 8848
800 4369 8195
800 4811 8514
800 4188 7847
800 6015 9812
800 5313 8522
800 4547 7726
800 4752 8364
800 5271 8620
800 3904 7907
800 5439 8369
800 4379 8200
800 5396 8534
800 4705 8070
800 4642 8599
800 4784 7772
800 5133 8538
800 4370 7792
800 4580 8205
800 4242 8038
800 4706 7905
800 5801 8950
800 4539 8361
800 4174 8127
800 5446 9597
800 4448 8431
800 4389 8171
800 5086 7960
800 4977 8490
800 4196 8359
800 4161 8419
800 5333 8188
800 5593 9484
800 4712 7999
800 5284 8120
800 5272 8751
800 4457 7816
800 5248 8497
800 5852 8369
800 4442 8408
800 4835 8920
800 5090 8236
800 4326 7822
800 5736 9017
800 5147 8406
800 4826 8155
800 4586 7817
800 4329 7943
800 4786 8675
800 4137 8260
800 5381 8559
800 4688 8520
800 4099 7458
800 5262 9159
800 4736 8005
800 5389 8177
800 4176 8319
800 5431 10082
800 4555 8149
800 5436 8945
800 4291 7867
800 5197 8743
800 4882 7939
800 4277 8499
800 4479 8527
800 4921 8341
800 3845 8454
800 4929 8754
850 4624 8432
850 4821 8798
850 4708 9131
850 5605 9177
850 4533 9259
850 4639 8644
850 4741 8829
850 5118 9440
850 4816 8524
850 6124 9362
850 5025 9830
850 4974 8564
850 4345 8198
850 5273 9440
850 4926 9118
850 5196 8327
850 5077 8375
850 5469 9251
850 4119 9615
850 6095 9710
850 5986 9720
850 5098 8372
850 5457 8792
850 6067 10051
850 4723 9104
850 4121 8790
850 5061 8513
850 5979 9262
850 4514 9116
850 5939 9782
850 5053 9748
850 4858 9050
850 5731 8815
850 4836 8376
850 4832 8574
850 4824 8728
850 4704 9036
850 4624 8798
850 5873 9352
850 5428 9580
850 4584 9205
850 5365 8405
850 4498 9041
850 4787 9158
850 5551 8940
850 5662 10130
850 5663 8771
850 5424 9203
850 4930 9035
850 7150 10503
850 4848 8827
850 5585 8728
850 5090 8934
850 4851 8776
850 5666 8895
850 5061 9147
850 5319 9370
850 5006 8397
850 4886 9930
850 5305 8930
850 5422 8895
850 5366 8525
850 5187 8820
850 5585 9321
850 4950 8355
850 4518 9400
850 5694 9698
850 5472 8912
850 5865 8962
850 5189 10077
850 4430 8823
850 4487 8290
850 4732 9432
850 4649 8846
850 5229 9285
850 4193 9699
850 5537 10297
850 5420 8646
850 5367 8834
850 5231 9188
850 6532 9813
850 5146 10012
850 4190 8740
850 5509 9108
850 5360 9252
850 5797 9048
850 5626 9271
850 5908 10374
850 5378 9043
850 5204 8585
850 4382 8981
850 4482 8325
850 5473 9427
850 5824 9109
850 5549 9619
850 4734 8731
850 6139 9182
850 5138 9401
850 5159 8066
850 5872 9690
900 5979 9410
900 5940 10393
900 5654 9843
900 5142 9220
900 5393 9726
900 5451 9246
900 4990 9538
900 5247 9900
900 5971 9697
900 5688 10117
900 5145 9354
900 5478 9233
900 4856 8769
900 5251 9028
900 6524 10119
900 4791 9836
900 5770 9279
900 5457 9121
900 5494 9426
900 4688 8713
900 4973 9056
900 5499 8886
900 5126 9556
900 5291 9180
900 4699 9722
900 4692 9983
900 5076 9357
900 6311 9992
900 5743 10236
900 5294 9154
900 6379 10694
900 5571 9561
900 5164 8903
900 5382 9701
900 5710 9315
900 5005 9498
900 5476 9330
900 5748 9745
900 5918 9527
900 5417 9655
900 5269 9229
900 4996 9245
900 5642 10381
900 5805 10785
900 5625 9788
900 5280 9048
900 5391 9558
900 6947 10391
900 5313 8992
900 5369 9258
900 4667 8747
900 5367 9811
900 5378 9329
900 6147 9560
900 6243 10217
900 5319 10103
