n przestawienia_dpqs porównania_dpqs
700 4081 11627
700 4253 12808
700 3905 11712
700 4308 14702
700 4799 14263
700 3936 12787
700 4073 11178
700 3857 12713
700 4060 16105
700 4251 12856
700 4261 11856
700 4221 16539
700 4599 12783
700 4036 13822
700 4524 18860
700 3991 15551
700 4470 12056
700 4322 12001
700 3938 12062
700 4113 10789
700 3976 12179
700 4159 15754
700 4277 14667
700 3934 13036
700 4273 12676
700 4263 12073
700 4181 11900
700 4137 13600
700 4233 13664
700 4084 12579
700 4151 13663
700 4217 20267
700 4364 16839
700 4128 10543
700 4156 12826
700 3963 13776
700 4376 13958
700 4039 14026
700 4074 14148
700 4437 12910
700 4032 12338
700 4291 16302
700 4580 11519
700 4446 12977
700 4136 10584
700 4552 11867
700 4100 14088
700 4444 10212
700 3988 11760
700 4273 13377
700 4288 17357
700 3898 12338
700 3883 10792
700 4258 10030
700 4430 12683
700 4043 16797
700 3774 14515
700 4118 13889
700 4116 11721
700 4282 11519
700 4552 12253
700 4589 13291
700 4787 13571
700 4285 12268
700 3996 10891
700 4296 10985
700 4253 11838
700 4220 13695
700 3850 15115
700 4086 11765
700 4358 10813
700 4945 12728
700 4212 13890
700 3962 14992
700 4830 14073
700 4004 12921
700 4000 12941
700 4123 12029
700 4376 14425
700 4003 17918
700 4295 11462
700 4221 10819
700 4310 12766
700 3911 13628
700 4721 12271
700 4274 11107
700 4096 12660
700 4249 12287
700 4113 11617
700 4310 12884
700 4144 14601
700 4336 14280
700 4537 14310
700 4680 12983
700 4007 11034
700 4545 13656
700 4209 18691
700 4445 13905
700 3859 13023
700 4316 13498
750 4452 13518
750 4645 12925
750 4200 12751
750 4631 18536
750 4434 11785
750 4182 14341
750 4464 16500
750 4184 16137
750 4663 15764
750 4143 12832
750 4875 13203
750 4152 12296
750 4292 14423
750 4874 15399
750 4739 14017
750 4226 17694
750 4804 15857
750 4258 12007
750 4571 12015
750 4108 13661
750 4646 13864
750 4352 14701
750 4436 14187
750 4426 11561
750 4673 16638
750 3955 13831
750 4781 12236
750 4219 16621
750 4556 12612
750 4034 12625
750 4980 12821
750 3970 12570
750 4484 19636
750 4549 19421
750 4545 14749
750 4411 13753
750 4473 17872
750 5031 13262
750 4131 14922
750 4338 14131
750 4359 13284
750 4679 14312
750 4436 13376
750 5344 15149
750 4652 15567
750 4520 11757
750 4551 17433
750 4593 14324
750 4482 14630
750 4523 17718
750 4392 16745
750 4541 13087
750 4474 14739
750 4311 14075
750 4283 16085
750 5390 16072
750 4311 18374
750 4842 13940
750 4622 16751
750 4719 14227
750 4459 14073
750 4974 13516
750 4638 14035
750 4123 15757
750 5092 12845
750 4819 17929
750 4494 12549
750 4458 15357
750 4935 12911
750 4995 11597
750 4556 15215
750 4305 13944
750 4773 17375
750 4618 15568
750 4914 17163
750 4562 12835
750 4300 15421
750 4532 10923
750 4706 14140
750 4465 17699
750 4510 18394
750 4647 12394
750 4203 15202
750 4819 19645
750 4365 12311
750 4498 13516
750 4520 14727
750 4852 13393
750 5712 16919
750 4189 13650
750 4745 15260
750 4272 19361
750 4502 17229
750 4860 16187
750 5463 12065
750 5173 14236
750 4382 11775
