size_n, comp_avg,  comp_maks, reads_avg, reads_maks, h_avg,   h_final   h_maks \n
60000, 41807.885000, 119999.000000, 11809.080692, 59690.000000, 38645.240642, 36516.000000, 60000.000000 
60000, 41808.957000, 119999.000000, 11810.152892, 59765.000000, 38653.160067, 36492.000000, 60000.000000 
60000, 41806.761242, 119999.000000, 11807.957800, 59917.000000, 38628.382925, 36412.000000, 60000.000000 
60000, 41885.371983, 119999.000000, 11886.567725, 59729.000000, 38608.670833, 36510.000000, 60000.000000 
60000, 41819.087383, 119999.000000, 11820.283642, 59904.000000, 38629.512792, 36448.000000, 60000.000000 
60000, 41838.096392, 119999.000000, 11839.290875, 59663.000000, 38696.144158, 36661.000000, 60000.000000 
60000, 41816.155542, 119999.000000, 11817.351358, 59662.000000, 38664.573533, 36501.000000, 60000.000000 
60000, 41788.090467, 119999.000000, 11789.286817, 59594.000000, 38609.517000, 36437.000000, 60000.000000 
70000, 48735.583257, 139999.000000, 13736.781271, 69609.000000, 45020.566764, 42277.000000, 70000.000000 
70000, 48751.892629, 139999.000000, 13753.089936, 69894.000000, 45030.478971, 42376.000000, 70000.000000 
70000, 48727.859650, 139999.000000, 13729.054907, 69536.000000, 45052.418314, 42663.000000, 70000.000000 
70000, 48733.008393, 139999.000000, 13734.205293, 69772.000000, 45049.552657, 42433.000000, 70000.000000 
70000, 48775.962029, 139999.000000, 13777.158171, 69756.000000, 45097.001486, 42539.000000, 70000.000000 
70000, 48702.606057, 139999.000000, 13703.803207, 69933.000000, 45024.986300, 42398.000000, 70000.000000 
70000, 48779.819929, 139999.000000, 13781.017143, 69963.000000, 45028.210000, 42389.000000, 70000.000000 
70000, 48776.084986, 139999.000000, 13777.281879, 69666.000000, 45043.351414, 42434.000000, 70000.000000 
70000, 48791.746700, 139999.000000, 13792.943029, 69745.000000, 45054.467443, 42513.000000, 70000.000000 
70000, 48833.162964, 139999.000000, 13834.359143, 69907.000000, 45071.150843, 42534.000000, 70000.000000 
70000, 48772.974457, 139999.000000, 13774.170314, 69905.000000, 45096.797329, 42579.000000, 70000.000000 
70000, 48678.736129, 139999.000000, 13679.933950, 69535.000000, 45021.037707, 42304.000000, 70000.000000 
70000, 48803.164464, 139999.000000, 13804.361064, 69807.000000, 45070.698514, 42475.000000, 70000.000000 
70000, 48739.738593, 139999.000000, 13740.935621, 69789.000000, 45029.857707, 42415.000000, 70000.000000 
80000, 55780.858806, 159999.000000, 15782.055637, 79666.000000, 51495.631062, 48506.000000, 80000.000000 
80000, 55750.524769, 159999.000000, 15751.721225, 79909.000000, 51479.626263, 48566.000000, 80000.000000 
80000, 55807.221094, 159999.000000, 15808.414937, 79714.000000, 51588.357144, 48984.000000, 80000.000000 
80000, 55755.646444, 159999.000000, 15756.842538, 79740.000000, 51494.661650, 48624.000000, 80000.000000 
80000, 55698.748894, 159999.000000, 15699.945619, 79805.000000, 51459.746250, 48523.000000, 80000.000000 
80000, 55762.370713, 159999.000000, 15763.567444, 79921.000000, 51499.376050, 48522.000000, 80000.000000 
80000, 55681.774181, 159999.000000, 15682.971931, 79609.000000, 51423.707569, 48359.000000, 80000.000000 
80000, 55778.647075, 159999.000000, 15779.844237, 79904.000000, 51463.015550, 48453.000000, 80000.000000 
80000, 55740.043250, 159999.000000, 15741.240375, 79927.000000, 51472.255381, 48459.000000, 80000.000000 
80000, 55746.636106, 159999.000000, 15747.832231, 79643.000000, 51499.082319, 48619.000000, 80000.000000 
90000, 62743.325244, 179999.000000, 17744.522194, 89628.000000, 57875.596228, 54548.000000, 90000.000000 
90000, 62666.568267, 179999.000000, 17667.766094, 89714.000000, 57857.145633, 54390.000000, 90000.000000 
90000, 62731.302911, 179999.000000, 17732.499133, 89635.000000, 57963.965372, 54679.000000, 90000.000000 
90000, 62644.524511, 179999.000000, 17645.720794, 89759.000000, 57899.283728, 54668.000000, 90000.000000 
90000, 62611.623556, 179999.000000, 17612.821267, 89669.000000, 57882.330972, 54411.000000, 90000.000000 
90000, 62712.918572, 179999.000000, 17714.115406, 89841.000000, 57894.512622, 54569.000000, 90000.000000 
