n przestawienia porównania
1000 2209 4835
1000 1265 2094
1000 1923 3434
1000 1494 2892
1000 1510 2892
1000 2967 4978
1000 1900 3378
1000 1596 3196
1000 1726 3769
1000 1834 3693
1000 1729 4609
1000 2529 4598
1000 1283 3042
1000 2500 4530
1000 2918 3774
1000 1127 2708
1000 844 1974
1000 1486 2473
1000 2470 5243
1000 1608 3011
1000 2663 3632
1000 2508 3613
1000 1686 4663
1000 2331 3634
1000 1105 2159
1000 1676 3484
1000 2418 3735
1000 653 1765
1000 1387 3165
1000 2302 3904
1000 2570 3765
1000 1405 2966
1000 879 4217
1000 1239 2045
1000 2896 4659
1000 696 3357
1000 1178 2524
1000 2094 4563
1000 1240 2198
1000 2585 4576
1000 803 2417
1100 2921 5046
1100 1806 3808
1100 1985 3066
1100 2408 4555
1100 1773 5042
1100 1635 2694
1100 1154 3095
1100 1994 5536
1100 724 2321
1100 1157 3828
1100 1215 2973
1100 1686 4661
1100 947 2226
1100 2134 4037
1100 1769 3763
1100 3239 5461
1100 993 2519
1100 1565 3517
1100 3504 4573
1100 2138 4643
1100 1738 3151
1100 1012 2451
1100 1520 2716
1100 1695 2876
1100 1409 2433
1100 3155 5113
1100 1534 2558
1100 2497 3807
1100 1982 4560
1100 1794 2964
1100 2128 4411
1100 1976 3684
1100 2011 3425
1100 1474 3737
1100 2081 6526
1100 1193 2389
1100 1022 3684
1100 1318 2072
1100 3104 5621
1100 2478 4594
1100 4628 7889
1100 1236 4833
1100 1026 3971
1100 2788 4054
1100 2319 4791
1100 690 1899
1100 833 3444
1100 1347 4151
1100 1350 2810
1100 944 3349
1100 3406 6724
1100 3120 4525
1100 1843 2619
1100 1101 3938
1100 2811 4532
1100 1915 3656
1100 1076 2748
1100 1370 3777
1100 1174 3134
1100 1730 3207
1100 866 3465
1100 1922 4084
1100 1741 5257
1100 701 1958
1100 2197 3866
1100 1666 3989
1100 1673 3721
1100 3002 4473
1100 2232 3239
1100 1293 2660
1100 2079 3872
1100 2389 4899
1100 734 1983
1100 2274 3242
1100 1060 3559
1100 1459 3172
1100 1925 4029
1100 1090 2313
1100 1199 4004
1100 2449 4816
1100 2232 4876
1100 2250 4696
1100 2047 3672
1100 1098 2244
1100 2100 3584
1100 1313 2492
1100 1608 4582
1100 898 3862
1100 2424 4683
1100 2334 4333
1100 1951 3869
1100 2326 4132
1100 1412 3391
1100 2478 3827
1100 1454 2365
1100 1205 3000
1100 1256 2716
1100 984 2515
1100 1930 3157
1100 2066 4470
1200 1344 3851
1200 1801 4353
1200 2519 4272
1200 1269 2552
