n przestawienia porównania
1600 600 2205
1600 582 2191
1600 2976 4583
1600 167 1770
1600 1736 3342
1600 1035 2638
1700 1318 3028
1700 1202 2912
1700 2619 4325
1700 1866 3575
1700 903 2609
1700 1152 2859
1700 1049 2753
1700 1513 3222
1700 2092 3800
1700 3659 5367
1700 1383 3092
1700 483 2190
1700 2543 4251
1700 914 2620
1700 1618 3323
1700 546 2253
1700 1102 2807
1700 732 2440
1700 1842 3552
1700 1856 3563
1700 793 2496
1700 3620 5332
1700 2642 4351
1700 2539 4248
1700 2829 4539
1700 2903 4609
1700 675 2380
1700 1599 3304
1700 612 2319
1700 1030 2736
1700 566 2273
1700 3953 5667
1700 337 2042
1700 3734 5440
1700 648 2353
1700 1221 2926
1700 437 2142
1700 1149 2857
1700 7379 9092
1700 1103 2811
1700 2597 4308
1700 538 2245
1700 635 2343
1700 2207 3919
1700 2637 4348
1700 2368 4080
1700 1186 2894
1700 2375 4083
1700 188 1892
1700 737 2441
1700 1111 2820
1700 2536 4245
1700 854 2565
1700 1252 2962
1700 1795 3505
1700 1569 3273
1700 918 2623
1700 2505 4216
1700 852 2559
1700 3723 5437
1700 2122 3832
1700 529 2236
1700 2626 4335
1700 1368 3074
1700 2629 4339
1700 2616 4328
1700 1142 2847
1700 1298 3003
1700 1692 3401
1700 1777 3486
1700 2281 3990
1700 1767 3476
1700 2695 4404
1700 3122 4831
1700 4122 5831
1700 1091 2797
1700 3429 5139
1700 2689 4395
1700 633 2340
1700 1948 3658
1700 3466 5176
1700 266 1971
1700 1632 3340
1700 3950 5664
1700 2032 3738
1700 1779 3486
1700 2437 4147
1700 3519 5225
1700 1840 3547
1700 243 1948
1700 2128 3836
1700 6110 7820
1700 1461 3170
1700 1606 3315
1700 2907 4615
1700 2754 4463
1700 1824 3530
1700 2465 4173
1700 1682 3392
1700 52 1758
1800 2184 3994
1800 2083 3893
1800 85 1889
1800 435 2244
1800 3976 5786
1800 32 1836
1800 1664 3473
1800 7441 9253
1800 3703 5510
1800 3243 5050
1800 1629 3433
1800 2475 4284
1800 2465 4275
1800 237 2045
1800 5849 7660
1800 186 1990
1800 3374 5181
1800 2837 4646
1800 632 2438
1800 1312 3121
1800 3279 5088
1800 400 2207
1800 907 2712
1800 2940 4747
1800 1991 3799
1800 1678 3491
1800 5902 7713
1800 2556 4364
1800 2808 4618
1800 1686 3493
1800 1168 2976
1800 4659 6473
1800 3219 5028
1800 1774 3583
1800 61 1864
1800 402 2208
1800 38 1843
1800 2260 4067
1800 2244 4054
1800 2599 4409
1800 1638 3449
1800 1197 3001
1800 1974 3782
1800 2976 4785
1800 1865 3673
1800 2087 3895
1800 242 2047
1800 1341 3150
1800 1488 3298
1800 2583 4391
1800 370 2178
1800 226 2031
1800 1935 3742
1800 314 2119
1800 1295 3106
1800 410 2216
1800 2144 3950
1800 1680 3486
1800 2425 4236
1800 3050 4861
1800 2837 4644
1800 1435 3244
1800 2237 4044
1800 81 1885
1800 1939 3746
1800 1347 3153
1800 3175 4983
1800 4693 6500
1800 1651 3459
1800 223 2029
1800 2542 4354
1800 312 2119
1800 314 2121
1800 1203 3008
1800 1816 3621
1800 1362 3169
1800 121 1925
