n przestawienia porównania czas
900 6088 6829 0.079
900 5875 5558 0.076
900 6228 7165 0.079
900 5779 6091 0.073
900 6173 7062 0.08
900 5990 6221 0.077
900 6276 6566 0.111
900 5960 6610 0.101
900 5780 6033 0.077
900 6055 6475 0.084
900 6167 6335 0.082
900 6112 6259 0.086
900 5326 6050 0.069
900 6175 6969 0.08
900 5736 6238 0.073
900 6019 7047 0.076
900 5518 6130 0.074
900 5971 6062 0.076
900 6130 6636 0.081
900 6245 6499 0.076
900 6129 6394 0.082
900 5723 5734 0.074
900 3310 3186 0.06
900 3142 3251 0.041
900 6200 6734 0.079
900 6066 6740 0.096
900 6236 6570 0.081
900 5967 6186 0.077
900 5782 5969 0.076
900 5591 5652 0.068
900 6111 6164 0.083
900 6212 6798 0.084
900 6212 6369 0.098
900 6189 6722 0.077
900 6081 6520 0.079
900 6114 7018 0.086
900 6406 6683 0.088
900 5944 6956 0.091
900 6068 6183 0.091
900 6196 6495 0.104
900 5833 6000 0.075
900 6124 6545 0.087
900 6109 6662 0.078
900 5975 7250 0.081
900 6160 6668 0.081
900 5590 6372 0.074
900 6162 6499 0.077
900 6125 6153 0.079
900 6067 6468 0.077
900 6216 6887 0.082
900 5819 6175 0.074
900 6170 6481 0.08
900 3150 3251 0.044
900 6222 6803 0.085
900 6469 6865 0.086
900 6010 6723 0.083
900 6207 6329 0.081
900 5945 6573 0.1
900 6218 7122 0.084
900 5678 6469 0.083
900 6360 6246 0.085
900 5875 6598 0.088
900 5933 5817 0.085
900 6126 6567 0.098
900 5874 6258 0.078
900 5902 6228 0.121
900 6178 6067 0.091
900 6102 6272 0.117
900 5933 6977 0.08
900 6188 6864 0.085
900 6220 6571 0.086
900 5614 5902 0.077
900 6139 6755 0.092
900 6266 6567 0.09
900 5983 6957 0.114
900 6318 6421 0.133
900 6313 6903 0.109
900 6295 7083 0.103
900 6062 6590 0.092
900 5977 5947 0.08
900 6225 6988 0.091
1000 6132 6323 0.095
1000 6892 7611 0.115
1000 6218 6170 0.089
1000 6684 6545 0.089
1000 6646 7607 0.094
1000 6909 6920 0.095
1000 6741 6864 0.086
1000 7010 7368 0.089
1000 6942 7481 0.089
1000 6872 7201 0.089
1000 6921 7042 0.087
1000 6030 6971 0.079
1000 6587 6975 0.11
1000 6667 7328 0.093
1000 6530 6946 0.104
1000 7082 7770 0.089
1000 6598 7268 0.082
1000 6901 6706 0.086
1000 6791 7032 0.088
1000 6797 7515 0.11
1000 6888 7089 0.084
1000 7001 7163 0.088
1000 6922 7610 0.087
1000 6830 7490 0.084
1000 7034 8204 0.099
1000 7186 7310 0.095
1000 3571 3478 0.055
1000 7181 7261 0.087
1000 6738 6714 0.083
1000 7166 7794 0.097
1000 6260 7365 0.077
1000 6474 6592 0.078
1000 6852 7179 0.093
1000 6742 7278 0.086
1000 6433 6480 0.077
1000 6918 7967 0.089
1000 6887 7365 0.095
1000 7212 7865 0.093
1000 6146 6628 0.076
1000 7095 7286 0.091
1000 6346 6860 0.08
1000 6821 7211 0.085
1000 6968 8041 0.09
1000 6800 7089 0.085
1000 7042 7311 0.087
1000 6561 6852 0.083
1000 6833 7858 0.091
1000 6936 7337 0.087
1000 6990 7152 0.087
1000 6934 7280 0.085
1000 7090 8088 0.093
1000 6445 6296 0.078
1000 7071 8069 0.089
1000 6962 7261 0.089
1000 6839 7740 0.091
1000 6964 7136 0.088
1000 7019 8002 0.093
1000 7023 7863 0.088
1000 6924 7446 0.087
1000 6382 7408 0.083
1000 6824 7366 0.095
1000 6987 6804 0.09
1000 6375 6184 0.081
1000 6870 7342 0.085
1000 6886 7143 0.084
1000 6889 7873 0.11
1000 6745 7222 0.087
1000 6953 7722 0.086
1000 6827 7182 0.087
1000 6728 6705 0.1
1000 6306 6446 0.077
1000 6853 7839 0.112
1000 6910 6955 0.086
1000 6526 7323 0.096
1000 7012 7151 0.087
1000 6861 7055 0.114
1000 6206 6862 0.076
1000 7065 7075 0.085
1000 6913 7676 0.108
1000 6838 7478 0.089
1000 6789 7626 0.09
1000 6343 7121 0.082
1000 6518 7375 0.088
1000 6682 6723 0.092
1000 7060 7159 0.089
1000 6835 7655 0.09
1000 6976 7599 0.115
1000 6414 7353 0.082
1000 6489 6429 0.098
1000 6508 6698 0.081
1000 6993 8242 0.13
1000 7113 7585 0.088
1000 6963 7014 0.1
1000 7044 8305 0.12
1000 6500 6536 0.083
1000 7026 7213 0.089
1000 6717 7574 0.091
1000 7249 7840 0.094
1000 6056 6543 0.079
1000 6725 7387 0.088
1100 7595 7556 0.126
1100 7211 7546 0.1
1100 7459 7944 0.123
1100 7286 7407 0.093
1100 7406 7917 0.094
1100 3941 3958 0.049
1100 7145 7844 0.094
1100 7481 8090 0.096
1100 7492 8348 0.094
1100 7672 8825 0.102
1100 7496 8382 0.116
1100 7559 8370 0.095
1100 7114 8074 0.09
1100 7225 8425 0.097
1100 7527 8257 0.097
1100 7096 7664 0.087
1100 7103 7386 0.088
1100 7625 8417 0.099
1100 7601 8700 0.096
1100 3856 4437 0.05
1100 7597 7606 0.098
1100 7650 8483 0.095
1100 6883 7065 0.101
1100 7542 7880 0.097
1100 7534 7771 0.096
1100 7295 7634 0.091
1100 7764 9034 0.102
1100 7672 8499 0.13
1100 7601 9114 0.097
1100 7125 7931 0.097
1100 7588 8253 0.094
1100 7355 8351 0.092
1100 7549 7881 0.095
1100 7529 7329 0.099
1100 7441 8500 0.098
1100 7766 8318 0.098
1100 7603 7878 0.094
1100 7441 8434 0.095
1100 7615 8704 0.101
1100 7384 7177 0.09
1100 7824 7817 0.096
1100 6925 8224 0.091
1100 7615 7517 0.091
1100 7337 8384 0.092
1100 7653 7849 0.098
1100 7836 7806 0.116
1100 7438 8363 0.097
1100 7947 7933 0.137
1100 7482 8227 0.099
1100 7645 8147 0.094
1100 7569 8258 0.093
1100 7610 8704 0.104
1100 7691 8618 0.1
1100 7717 8857 0.101
1100 7498 7903 0.112
1100 7487 8014 0.095
1100 7787 7904 0.132
1100 6773 7250 0.085
1100 4027 3966 0.053
1100 7752 7937 0.099
1100 7143 8067 0.093
1100 7285 7659 0.09
1100 7478 7875 0.091
1100 7498 8593 0.097
1100 3987 4252 0.066
1100 7090 7877 0.091
1100 7658 8013 0.143
1100 6320 6946 0.072
1100 7473 8023 0.094
1100 7559 7846 0.126
1100 3958 4119 0.052
1100 7484 7929 0.095
1100 7433 7966 0.097
1100 7557 7637 0.095
1100 7619 8003 0.093
1100 7863 8163 0.11
1100 7547 8581 0.097
1100 7774 7476 0.096
1100 7526 7699 0.093
1100 7364 7347 0.091
1100 7740 7804 0.098
1100 7400 7951 0.094
1100 7689 8601 0.098
1100 7256 8203 0.095
1100 7771 8165 0.097
1100 7687 8119 0.139
1100 7478 8247 0.1
1100 7513 8536 0.101
1100 7219 7514 0.092
1100 7447 8392 0.095
1100 7317 7746 0.13
1100 7690 7869 0.147
1100 7528 7859 0.134
1100 7474 8112 0.106
1100 7717 8038 0.097
1100 6637 7934 0.096
1100 7558 7452 0.1
1100 7584 8183 0.096
1100 7229 7027 0.089
1100 7289 7941 0.106
1200 8397 8648 0.18
1200 4186 4824 0.065
1200 8104 8589 0.112
1200 7841 7642 0.099
1200 7593 8385 0.094
1200 8268 8641 0.129
1200 8180 9382 0.105
1200 8457 8976 0.11
1200 8130 8782 0.101
1200 8523 8493 0.103
1200 8060 9706 0.107
1200 8173 8412 0.098
1200 8434 8424 0.103
1200 8059 9358 0.118
1200 4423 5169 0.058
1200 8225 8962 0.103
1200 8301 8848 0.104
1200 8396 9271 0.107
1200 8495 8674 0.117
1200 8418 9069 0.14
1200 8431 9077 0.103
1200 8405 9335 0.106
1200 8599 9277 0.107
1200 8184 9231 0.102
1200 8304 8674 0.112
1200 8457 8360 0.104
1200 8457 8884 0.104
1200 8120 9385 0.112
1200 8599 9223 0.111
1200 8152 9086 0.141
1200 8053 9380 0.102
1200 8239 8671 0.106
1200 7413 7249 0.085
1200 8272 8715 0.099
1200 8408 10081 0.112
1200 8140 8471 0.103
1200 4371 4133 0.073
1200 7993 8474 0.1
1200 6973 7551 0.093
1200 4157 4001 0.053
1200 8593 9293 0.109
1200 7550 8124 0.112
1200 7984 8724 0.102
1200 8071 9108 0.103
1200 8134 8229 0.121
1200 8367 8320 0.107
1200 8280 8949 0.104
1200 8614 9305 0.111
1200 8396 9579 0.106
1200 8469 8816 0.108
1200 7729 9104 0.114
1200 8109 8990 0.107
1200 8093 8583 0.103
1200 7868 8811 0.097
1200 8060 9353 0.106
1200 8428 9557 0.113
1200 8297 9152 0.106
1200 8078 8247 0.099
1200 8239 9253 0.124
