n przestawienia porównania czas
1000 7110 7400 0.084
1000 6979 7638 0.079
1000 7788 7759 0.087
1000 7239 7729 0.082
1000 7286 7581 0.08
1000 7288 8056 0.109
1000 7560 7435 0.082
1000 7569 7753 0.093
1000 7025 7055 0.073
1000 7287 7448 0.079
1000 6977 7217 0.078
1000 7257 7232 0.079
1000 7523 8003 0.113
1000 7220 7216 0.079
1000 7319 6997 0.082
1000 7527 7660 0.081
1000 7559 8193 0.084
1000 7481 8128 0.081
1000 7539 7441 0.098
1000 7445 8081 0.08
1000 7167 7180 0.078
1000 7676 7804 0.081
1000 7410 7092 0.088
1000 7115 7710 0.08
1000 6726 7010 0.103
1000 7340 7772 0.084
1000 7612 8453 0.082
1000 7573 8121 0.097
1000 7544 7420 0.079
1000 7209 7426 0.114
1000 7597 8298 0.083
1000 7447 7845 0.084
1000 7670 7546 0.084
1000 7059 7717 0.078
1000 7553 7696 0.086
1000 7406 7651 0.089
1000 7152 6920 0.077
1000 7320 8216 0.086
1000 6884 7061 0.08
1000 7438 7815 0.087
1000 7289 8004 0.086
1000 7407 7878 0.086
1000 7282 7516 0.085
1000 7441 7809 0.085
1000 6574 7296 0.078
1000 7077 7969 0.091
1000 7121 7021 0.076
1000 7302 7562 0.082
1000 7218 7032 0.09
1000 6711 7290 0.094
1000 7186 7306 0.084
1000 7161 7214 0.083
1000 7177 7175 0.08
1000 7364 7958 0.087
1000 6892 6618 0.079
1000 7048 7323 0.077
1000 7291 8115 0.081
1000 7097 7232 0.081
1000 7540 8094 0.092
1100 7906 8484 0.098
1100 7828 8730 0.103
1100 8043 8100 0.093
1100 8430 8667 0.096
1100 8368 8914 0.115
1100 8142 8859 0.091
1100 8413 8268 0.088
1100 7892 8118 0.092
1100 8188 9336 0.118
1100 8259 8593 0.092
1100 7806 7407 0.118
1100 7781 8486 0.084
1100 7861 8468 0.097
1100 8328 8437 0.104
1100 8310 8232 0.092
1100 8055 8763 0.089
1100 8131 9144 0.097
1100 8025 8687 0.093
1100 7961 8221 0.091
1100 7846 7839 0.085
1100 8206 8703 0.093
1100 7676 7761 0.084
1100 7943 8028 0.084
1100 8071 8297 0.088
1100 7985 8090 0.092
1100 7880 8175 0.097
1100 8134 7694 0.085
1100 7966 7739 0.086
1100 7610 7853 0.11
1100 8192 8831 0.09
1100 7998 8042 0.092
1100 8072 8828 0.091
1100 7946 7974 0.087
1100 7857 7575 0.082
1100 7602 8169 0.088
1100 8021 8252 0.089
1100 7644 8540 0.083
1100 8363 8572 0.088
1100 7650 8002 0.097
1100 7823 7946 0.084
1100 8509 8591 0.089
1100 7480 8126 0.083
1100 7636 7314 0.08
1100 8222 8435 0.089
1100 8132 8296 0.091
1100 8247 9102 0.093
1100 7592 7643 0.089
1100 7899 8482 0.09
1100 7892 7926 0.09
1100 8244 8552 0.088
1100 7618 7707 0.087
1100 7885 8154 0.107
1100 8216 8074 0.094
1100 8300 8151 0.09
1100 7998 8818 0.101
1100 8254 8649 0.092
1100 8231 8048 0.09
1100 8167 7867 0.092
1100 7907 7864 0.086
1100 8317 8325 0.09
1100 8386 9059 0.105
1100 7370 7826 0.082
1100 8326 9327 0.091
1100 7883 9127 0.091
1100 8322 9014 0.088
1100 7783 7441 0.082
1100 7493 7209 0.082
1100 7569 7820 0.085
1100 8077 8031 0.087
1100 7755 8054 0.089
1100 8223 8101 0.098
1100 8186 8951 0.094
1100 8345 8282 0.11
1100 8330 8670 0.093
1100 8103 7986 0.091
1100 7798 7848 0.089
1100 7497 8415 0.095
1100 8512 8228 0.094
1100 7976 7551 0.087
1100 8180 8242 0.092
1100 7801 8138 0.093
1100 7858 7783 0.09
1100 7633 8091 0.086
1100 8437 8481 0.111
1100 7944 8118 0.11
1100 8026 9241 0.094
1100 7443 7894 0.079
1100 8060 8161 0.089
1100 7620 8013 0.088
1100 7864 8692 0.093
1100 8102 8824 0.089
1100 7780 8245 0.096
1100 8073 7577 0.099
1100 8035 8160 0.1
1100 8258 8336 0.094
1100 7496 7141 0.1
1100 8056 8788 0.095
1100 7923 7799 0.086
1100 8009 8511 0.093
1100 7868 7920 0.09
1200 8962 8820 0.11
1200 8732 8898 0.106
1200 8350 8331 0.094
1200 8738 9418 0.115
1200 8690 9274 0.127
1200 8563 9286 0.096
1200 8125 8615 0.091
1200 8501 9646 0.099
1200 8940 8668 0.096
1200 9083 9411 0.102
1200 8426 9089 0.091
1200 8859 9869 0.098
1200 8754 8290 0.105
1200 8525 8641 0.096
1200 8823 9340 0.098
1200 8504 8245 0.093
1200 8864 9252 0.092
1200 8113 8252 0.108
1200 8687 8966 0.099
1200 8677 8605 0.1
1200 8739 8891 0.091
1200 9119 9220 0.094
1200 8439 8677 0.129
1200 8981 9117 0.096
1200 8782 9428 0.097
1200 8642 9296 0.096
1200 8878 8669 0.095
1200 8591 9351 0.098
1200 9283 9670 0.109
1200 8626 8860 0.132
1200 8559 9036 0.089
1200 8631 8933 0.097
1200 8952 9023 0.098
1200 8748 9414 0.137
1200 8301 8013 0.093
1200 7855 8144 0.087
1200 9249 8696 0.097
1200 8759 9030 0.096
1200 8646 8733 0.099
1200 8789 9294 0.146
1200 8843 9226 0.112
1200 8853 8602 0.093
1200 8892 9771 0.095
1200 8690 9176 0.099
1200 8511 8895 0.105
1200 9014 8875 0.111
1200 8980 9455 0.105
1200 7956 7789 0.102
1200 8893 8934 0.099
1200 8380 9027 0.141
1200 8506 9430 0.102
1200 8677 9076 0.103
1200 8767 8974 0.094
1200 9139 9729 0.095
1200 8451 8691 0.113
1200 9173 9156 0.1
1200 8599 8669 0.096
