n przestawienia porównania czas
1000 7496 7417 0.097
1000 7635 7792 0.072
1000 7667 7095 0.075
1000 7968 8433 0.081
1000 7911 8079 0.078
1000 7686 7428 0.075
1000 7515 7658 0.074
1000 7395 7137 0.072
1000 7431 7311 0.071
1000 7647 7985 0.074
1000 7825 8084 0.077
1000 7293 7543 0.073
1000 7854 8132 0.076
1000 7948 7649 0.082
1000 7573 7731 0.072
1000 7862 8370 0.076
1000 7668 8324 0.083
1000 7286 7093 0.072
1000 7504 7022 0.071
1000 7719 7731 0.077
1000 7546 7792 0.075
1000 7392 7436 0.075
1000 7592 7864 0.078
1000 8061 8872 0.082
1000 7724 8135 0.079
1000 7382 7088 0.078
1000 7910 7816 0.077
1000 7622 8048 0.074
1000 7868 7883 0.08
1000 7917 7953 0.088
1000 7483 7596 0.073
1000 7717 8671 0.077
1000 7397 7940 0.106
1000 7897 8495 0.108
1000 7752 7582 0.077
1000 7345 7677 0.072
1000 7658 7508 0.076
1000 7998 8544 0.08
1000 7521 8017 0.072
1000 8143 8305 0.077
1000 7974 8505 0.081
1000 7615 7640 0.076
1000 8117 8381 0.08
1000 7914 7422 0.075
1000 7681 7604 0.072
1000 7630 7334 0.072
1000 7801 7939 0.078
1000 7853 7987 0.078
1000 7656 7269 0.075
1000 7523 8090 0.073
1000 7747 8102 0.074
1000 7795 8000 0.075
1000 7859 8142 0.114
1000 7539 7564 0.076
1000 7667 7959 0.073
1000 8044 8456 0.077
1000 7804 7456 0.077
1000 7959 8188 0.077
1000 7907 7711 0.077
1000 7888 7579 0.078
1000 7690 7648 0.074
1000 7983 7897 0.075
1000 8005 7694 0.076
1000 7678 8306 0.074
1000 7978 8334 0.077
1000 7578 7431 0.071
1000 7688 7752 0.075
1000 7888 7531 0.075
1000 7784 7526 0.077
1000 7742 7975 0.075
1000 7743 7415 0.073
1000 7889 8053 0.079
1000 7645 7711 0.079
1000 7936 7976 0.079
1000 7619 7670 0.075
1000 7649 7564 0.076
1000 7897 7492 0.077
1000 7495 7403 0.073
1000 7721 7534 0.077
1000 7769 8070 0.077
1000 7791 8045 0.076
1000 7420 7192 0.075
1000 7241 6800 0.069
1000 7315 7290 0.073
1000 7732 8056 0.082
1000 7950 7616 0.075
1000 7427 7125 0.078
1000 7821 8186 0.078
1000 7342 7172 0.122
1000 7547 7789 0.107
1000 7817 8053 0.076
1000 7988 7904 0.078
1000 7737 8470 0.078
1100 8371 8348 0.088
1100 8488 8022 0.09
1100 8565 8631 0.095
1100 8549 8097 0.087
1100 8005 8113 0.078
1100 8179 8861 0.079
1100 8561 8938 0.082
1100 8366 8458 0.083
1100 8515 9509 0.089
1100 8639 8626 0.108
1100 8536 9281 0.091
1100 8552 8694 0.081
1100 8438 9382 0.082
1100 8578 8643 0.082
1100 8440 7868 0.083
1100 8453 8658 0.081
1100 8780 8756 0.115
1100 8707 8752 0.084
1100 8134 8584 0.081
1100 8309 8608 0.089
1100 8414 9065 0.082
1100 8276 8292 0.102
1100 8466 8357 0.083
1100 8616 8771 0.091
1100 8565 8670 0.094
1100 8593 8221 0.085
1100 8364 8411 0.079
1100 8436 8639 0.085
1100 8518 8139 0.098
1100 8354 8001 0.081
1100 8386 8377 0.082
1100 8015 8510 0.077
1100 8367 8218 0.101
1100 8375 8587 0.081
1100 8504 8342 0.08
1100 8795 8891 0.086
1100 8228 8183 0.078
1100 8103 7944 0.075
1100 8494 8689 0.095
1100 8120 8939 0.079
1100 8410 8630 0.081
1100 8424 9006 0.083
1100 8423 9209 0.081
1100 8272 8844 0.083
1100 8491 8782 0.081
1100 8551 8521 0.081
1100 8845 8581 0.082
1100 8492 8864 0.085
1100 8481 9208 0.085
1100 8596 8284 0.086
1100 8194 8823 0.079
1100 8986 8919 0.089
1100 8718 8559 0.085
1100 8905 8770 0.091
1100 8664 9003 0.087
1100 8371 8595 0.083
1100 8946 9807 0.09
1100 8778 9347 0.096
1100 8316 8179 0.085
1100 8451 8856 0.084
1100 8754 8377 0.086
1100 8198 9045 0.078
1100 8619 9118 0.082
1100 8465 8359 0.083
1100 8289 8626 0.09
1100 8305 7972 0.078
1100 8460 8408 0.08
1100 8549 8640 0.083
1100 8128 8181 0.077
1100 8588 8632 0.108
1100 8519 8350 0.089
1100 8752 8691 0.086
1100 8562 8496 0.081
1100 8368 8003 0.08
1100 8949 9024 0.115
1100 8107 8278 0.081
1100 8870 9019 0.102
1100 8060 8383 0.081
1100 8943 8926 0.086
1100 8893 9346 0.086
1100 8488 8792 0.083
1100 8086 7793 0.077
1100 7920 8323 0.088
1100 8573 8733 0.081
1100 8581 9460 0.088
1100 8819 8669 0.1
1100 8693 9377 0.086
1100 8329 8632 0.079
1100 8309 8389 0.085
1100 8190 8506 0.114
1100 8593 8562 0.084
1100 7879 8467 0.077
1100 8620 8430 0.092
1100 8348 8562 0.092
1100 8920 8935 0.085
1100 8662 8535 0.083
1100 8713 8640 0.085
1100 8665 8396 0.085
1100 8744 8666 0.119
1100 8557 9544 0.089
1200 8955 9098 0.097
1200 8951 9648 0.089
1200 9472 10502 0.094
1200 9610 9463 0.091
1200 8728 8875 0.097
1200 9493 9115 0.093
1200 9417 9619 0.09
1200 9692 9683 0.09
1200 9433 9382 0.092
1200 9043 8654 0.085
1200 9368 9313 0.089
1200 8944 8664 0.095
1200 9362 9504 0.092
1200 9026 8546 0.118
1200 8810 8914 0.085
1200 8836 8738 0.091
1200 8946 9328 0.086
1200 9190 8910 0.086
1200 9324 8892 0.091
1200 9237 9007 0.091
1200 9159 9012 0.088
1200 9721 10355 0.093
1200 9501 9375 0.092
1200 9583 10375 0.104
1200 9193 10151 0.092
1200 9269 9031 0.085
1200 8999 9462 0.088
1200 9477 9493 0.089
1200 8539 9289 0.098
1200 9131 9092 0.089
1200 9282 10095 0.089
1200 9222 9234 0.094
1200 8857 8534 0.101
1200 9022 8729 0.101
1200 9578 10148 0.093
1200 9418 9862 0.092
1200 9427 8899 0.088
1200 9857 10025 0.091
1200 9175 9747 0.09
1200 8934 8957 0.089
1200 9433 10157 0.095
1200 9547 9747 0.092
1200 9235 9653 0.106
1200 9098 9805 0.097
1200 9600 9260 0.12
1200 9399 9121 0.11
1200 9164 8940 0.093
1200 9635 9053 0.091
1200 9305 9197 0.091
1200 9553 10376 0.142
1200 9311 9365 0.094
1200 9500 9320 0.09
1200 9314 8938 0.086
1200 9365 10429 0.096
1200 9600 9855 0.117
1200 9347 9359 0.107
1200 9538 9283 0.091
