n przestawienia porównania
1700 1699 1930
1700 1699 4398
1700 1700 1725
1700 1700 2937
1700 1699 4239
1700 1700 2748
1700 1700 1949
1700 1700 5434
1700 1699 2527
1700 1699 2639
1700 1700 3947
1700 1700 2815
1700 1700 3643
1700 1700 1942
1700 1699 1852
1700 1700 4669
1700 1700 3261
1700 1700 1861
1700 1699 4230
1700 1699 3841
1700 1700 1933
1700 1699 2387
1700 1699 2639
1700 1699 2835
1700 1700 3631
1700 1700 6220
1800 1799 2355
1800 1799 2472
1800 1799 6950
1800 1799 6274
1800 1799 2663
1800 1800 6700
1800 1800 2664
1800 1800 2678
1800 1800 1835
1800 1800 2529
1800 1800 2414
1800 1799 2767
1800 1799 3233
1800 1799 6508
1800 1799 2059
1800 1799 5159
1800 1800 2786
1800 1800 4127
1800 1799 4528
1800 1800 4361
1800 1799 2408
1800 1800 5122
1800 1800 2987
1800 1799 2054
1800 1800 4306
1800 1800 3054
1800 1800 2544
1800 1799 3176
1800 1799 2615
1800 1799 4308
1800 1799 3423
1800 1800 2884
1800 1800 2302
1800 1800 3450
1800 1799 4045
1800 1800 4418
1800 1800 6017
1800 1799 2112
1800 1800 3113
1800 1800 2653
1800 1800 3545
1800 1800 5642
1800 1800 2029
1800 1800 2795
1800 1800 2650
1800 1800 2981
1800 1799 4488
1800 1800 3619
1800 1800 3152
1800 1799 2804
1800 1800 7067
1800 1800 5735
1800 1800 3216
1800 1800 4707
1800 1800 3717
1800 1800 3785
1800 1799 2803
1800 1800 3451
1800 1800 3550
1800 1799 2760
1800 1799 1914
1800 1800 2457
1800 1799 3075
1800 1800 5053
1800 1799 3454
1800 1799 2978
1800 1800 2418
1800 1800 2005
1800 1800 2861
1800 1799 3561
1800 1799 1947
1800 1800 5491
1800 1799 8133
1800 1800 2925
1800 1800 3011
1800 1800 4224
1800 1799 4098
1800 1800 4164
1800 1800 2936
1800 1799 2663
1800 1800 4298
1800 1799 1858
1800 1799 2079
1800 1800 2827
1800 1800 3770
1800 1800 5277
1800 1800 2460
1800 1800 2583
1800 1800 3841
1800 1800 2688
1800 1799 6580
1800 1799 4682
1800 1799 2402
1800 1800 2894
1800 1799 3562
1800 1800 2602
1800 1800 3861
1800 1799 4844
1800 1799 6300
1800 1799 2382
1900 1900 2653
1900 1900 3300
1900 1900 2760
1900 1899 3597
1900 1900 3045
1900 1899 2299
1900 1899 3695
1900 1900 3346
1900 1899 3638
1900 1900 2923
1900 1899 2771
1900 1899 4149
1900 1900 2479
1900 1900 3815
1900 1899 3675
